"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17130","17820","18450","18710","19430","20160","20840","21820","22900","23920","25560","26920","27770","27480","28440","29910","31900","33560","34640","34610","35470","37020","37420","",
"Faeroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2380","2450","2390","2410","2340","2410","2580","2680","2740","2840","2870","3050","3150","3200","3160","3330","3390","3540","3670","",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11100","11860","11090","11300","12020","12330","12680","13280","13860","12380","11690","12210","12580","12550","12070","13360","13120","14100","14340","14230","14470","15390","16370","",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15770","16060","16710","17620","18990","19910","21150","22730","23830","24320","26280","27950","29400","30450","32430","33830","35630","36500","37130","35280","34520","35260","35620","",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5210","4210","2340","1660","1540","1610","1910","2320","2480","2610","2700","2840","3040","3460","3820","4250","4810","5470","5630","5440","5730","6140","6760","",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1270","1320","1370","1410","1460","1510","1570","1620","1680","1720","1810","1870","1950","2060","2220","2390","2540","2740","2810","2960","3340","3510","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","690","700","720","730","750","770","800","820","860","880","910","980","930","960","980","990","1030","1050","1030","1060","1100","1140","",
"Gambia, The","GMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","970","1000","1030","1020","1030","1040","1070","1090","1130","1190","1240","1160","1220","1340","1320","1330","1380","1460","1510","1570","1480","1530","",
"Guinea-Bissau","GNB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","930","950","970","1000","1030","1150","1240","870","870","540","990","1030","970","970","1030","1030","1100","1200","1200","1220","1280","1180","",
